Five-Year Ofsted Inspection Data: Initial teacher education,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an initial teacher education provider at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Phase,Overall effectiveness,The quality of education and training,Leadership and management
70182,Alban Federation SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,15/09/2021,East of England,Hertfordshire,Not available,AL4 9NX,SCITT,Primary and Secondary,2,2,2
70186,Carmel Teacher Training Partnership (CTTP),03/12/2024,OS,Initial teacher education,31/08/2023,07/01/2019,North East,Darlington,Not available,DL3 8RP,SCITT,Primary and Secondary,1,1,1
70189,Wessex Schools Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,27/04/2023,South West,"Bournemouth, Christchurch & Poole",Not available,BH15 2BW,SCITT,Secondary,2,2,2
70190,Doncaster ITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,29/01/2019,Yorkshire and The Humber,Doncaster,Not available,DN1 3BU,SCITT,Primary and Secondary,2,2,2
70192,The Deepings SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/04/2022,East Midlands,Lincolnshire,Not available,PE6 8NF,SCITT,Primary and Secondary,2,2,2
70193,Sussex Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,23/01/2019,South East,East Sussex,Not available,TN38 9TE,SCITT,Primary,2,2,2
70195,Educate Group Initial Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,16/12/2018,North West,Cheshire West and Chester,Not available,CH65 0BE,SCITT,Primary and Secondary,2,2,2
70197,e-Qualitas,03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2022,London,Camden,Not available,WC2H 8EE,SCITT,Early years,2,2,2
70197,e-Qualitas,03/12/2024,OS,Initial teacher education,31/08/2023,28/03/2023,London,Camden,Not available,WC2H 8EE,SCITT,Primary,2,2,2
70197,e-Qualitas,03/12/2024,OS,Initial teacher education,31/08/2023,28/03/2023,London,Camden,Not available,WC2H 8EE,SCITT,Secondary,2,2,2
70199,George Abbot SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,South East,Surrey,Not available,GU1 1XX,SCITT,Secondary,,,
70201,George Spencer Academy SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,11/07/2023,East Midlands,Nottinghamshire,Not available,NG9 7EW,SCITT,Primary and Secondary,1,1,1
70202,The Havering Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,21/09/2021,London,Havering,Not available,RM14 1SF,SCITT,Secondary,2,2,2
70209,King Edward's Consortium,03/12/2024,OS,Initial teacher education,31/08/2023,05/10/2021,West Midlands,Birmingham,Not available,B14 7QS,SCITT,Secondary,2,2,2
70213,Kingsbridge EIP SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,19/05/2022,North West,Wigan,Not available,WN2 5NG,SCITT,Primary and Secondary,2,2,2
70215,Shotton Hall SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/01/2016,North East,Durham,Not available,SR8 1AU,SCITT,Primary and Secondary,1,1,1
70221,Two Mile Ash ITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,07/04/2022,South East,Milton Keynes,Not available,MK11 4BA,SCITT,Primary,2,2,2
70225,Kirklees and Calderdale SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,14/09/2023,Yorkshire and The Humber,Kirklees,Not available,WF16 9BB,SCITT,Primary and Secondary,2,2,2
70227,Pioneers Partnership SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,North West,Rochdale,Not available,M24 2GT,SCITT,Secondary,,,
70231,Mid Somerset Consortium for Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,24/03/2023,South West,Somerset,Not available,BA16 0AD,SCITT,Secondary,2,2,2
70232,The Cambridge Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,21/11/2017,East of England,Cambridgeshire,Not available,CB24 4RS,SCITT,Primary and Secondary,2,2,2
70233,South Birmingham SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,14/07/2021,West Midlands,Solihull,Not available,B91 3WR,SCITT,Primary and Secondary,2,2,2
70234,North Lincolnshire SCITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,15/09/2023,Yorkshire and The Humber,North Lincolnshire,Not available,DN15 6NL,SCITT,Primary and Secondary,2,2,2
70239,Thamesmead SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,05/10/2022,South East,Surrey,Not available,TW17 9EE,SCITT,Secondary,3,3,3
70241,Surrey South Farnham SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/08/2023,South East,Surrey,Not available,GU9 8DY,SCITT,Primary,1,1,1
70243,St. Joseph's College Stoke Secondary Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,15/06/2023,West Midlands,Stoke-on-Trent,Not available,ST4 5NT,SCITT,Primary and Secondary,2,2,2
70245,Stockton-on-Tees Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,06/10/2021,North East,Stockton-on-Tees,Not available,TS19 0QD,SCITT,Primary and Secondary,2,2,2
70246,Royal Borough of Windsor & Maidenhead SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/04/2022,South East,Windsor and Maidenhead,Not available,SL6 1RF,SCITT,Primary and Secondary,2,2,2
70249,"The Cambridge Teaching Schools Network, CTSN SCITT",03/12/2024,OS,Initial teacher education,31/08/2023,18/05/2022,East of England,Cambridgeshire,Not available,CB23 7DU,SCITT,Primary and Secondary,2,2,1
70258,University of Suffolk,03/12/2024,OS,Initial teacher education,31/08/2023,18/05/2022,East of England,Suffolk,Not available,IP4 1QJ,ITE in FE,FE,2,2,2
70270,Teach First,03/12/2024,OS,Initial teacher education,31/08/2023,27/06/2023,London,Greenwich,Not available,SE10 0ER,TeachFirst,Primary,1,1,1
70270,Teach First,03/12/2024,OS,Initial teacher education,31/08/2023,27/06/2023,London,Greenwich,Not available,SE10 0ER,TeachFirst,Secondary,1,1,1
70273,Arthur Terry SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,19/07/2022,West Midlands,Birmingham,Not available,B74 4RZ,SCITT,Primary and Secondary,1,1,1
70274,Tudor Grange SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/04/2022,West Midlands,Solihull,Not available,B91 3PD,SCITT,Primary and Secondary,2,2,2
70275,TES Institute,03/12/2024,OS,Initial teacher education,31/08/2023,15/07/2022,London,Camden,Not available,WC1X 8NH,SCITT,Primary,2,2,2
70275,TES Institute,03/12/2024,OS,Initial teacher education,31/08/2023,15/07/2022,London,Camden,Not available,WC1X 8NH,SCITT,Secondary,2,2,2
70276,TKAT SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,24/05/2022,London,Bromley,Not available,DA14 5AA,SCITT,Primary and Secondary,2,2,2
70277,Harris ITT,03/12/2024,OS,Initial teacher education,31/08/2023,12/01/2017,London,Southwark,Not available,SE16 3TZ,SCITT,Primary and Secondary,1,1,1
70279,Three Counties Alliance SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,Yorkshire and The Humber,Wakefield,Not available,WF9 2UJ,SCITT,Primary,,,
70279,Three Counties Alliance SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,12/01/2017,Yorkshire and The Humber,Wakefield,Not available,WF9 2UJ,SCITT,Secondary,2,2,2
70282,Endeavour Learning SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,26/05/2023,North West,Lancashire,Not available,PR1 8RJ,SCITT,Primary and Secondary,3,3,3
70283,Leicestershire Secondary SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,01/06/2023,East Midlands,Leicester,Not available,LE4 7AN,SCITT,Secondary,1,1,1
70284,North West SHARES SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,06/03/2023,North West,Lancashire,Not available,WN8 6AB,SCITT,Primary,1,1,1
70285,Buckingham Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,11/04/2023,South East,Buckinghamshire,Not available,MK18 7DS,SCITT,Primary and Secondary,2,2,2
70286,Pennine Lancashire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,26/05/2023,North West,Lancashire,Not available,BB5 2QY,SCITT,Primary and Secondary,2,2,2
70287,Norfolk Teacher Training Centre,03/12/2024,OS,Initial teacher education,31/08/2023,27/06/2023,East of England,Norfolk,Not available,NR2 2LJ,SCITT,Primary and Secondary,2,2,2
70288,The Basingstoke Alliance SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,15/06/2023,South East,Hampshire,Not available,RG21 5SU,SCITT,Secondary,2,2,2
70289,Teach East,03/12/2024,OS,Initial teacher education,31/08/2023,19/06/2017,East of England,Peterborough,Not available,PE6 7JX,SCITT,Primary and Secondary,2,2,2
70290,Wildern Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,16/05/2022,South East,Hampshire,Not available,SO30 4EJ,SCITT,Primary and Secondary,2,2,2
70291,St. George's Academy Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,,East Midlands,Lincolnshire,Not available,NG34 7PP,SCITT,Secondary,,,
70292,ARK Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,05/05/2022,London,Kensington and Chelsea,Not available,W11 4AN,SCITT,Primary and Secondary,1,1,1
70293,Future Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,15/06/2023,London,Westminster,Not available,SW1V 3AT,SCITT,Primary and Secondary,1,1,1
70294,Stourport SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,23/03/2023,West Midlands,Worcestershire,Not available,DY11 7WF,SCITT,Primary and Secondary,2,2,2
70296,Inspiring Leaders Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,28/06/2023,East Midlands,Leicestershire,Not available,LE3 3FF,SCITT,Primary and Secondary,1,1,1
70298,Mersey Boroughs ITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,13/01/2017,North West,Knowsley,Not available,L35 5DN,SCITT,Primary,2,2,2
70299,Compton SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,London,Barnet,Not available,N12 0QG,SCITT,Secondary,,,
70300,The Hampshire SCITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2023,South East,Hampshire,Not available,SO53 2DW,SCITT,Primary and Secondary,3,3,3
70301,Ashton on Mersey School SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,North West,Trafford,Not available,M33 5AY,SCITT,Early years,,,
70301,Ashton on Mersey School SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,23/12/2016,North West,Trafford,Not available,M33 5AY,SCITT,Primary and Secondary,2,2,2
70302,East Midlands Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,25/07/2023,East Midlands,Nottinghamshire,Not available,NG2 7FA,SCITT,Primary and Secondary,2,2,2
70304,The Tommy Flowers SCITT Milton Keynes,03/12/2024,OS,Initial teacher education,31/08/2023,18/09/2023,South East,Milton Keynes,Not available,MK6 5EN,SCITT,Primary and Secondary,1,1,1
70305,Bluecoat SCITT Alliance Nottingham,03/12/2024,OS,Initial teacher education,31/08/2023,11/07/2023,East Midlands,Nottingham,Not available,NG1 6AB,SCITT,Primary and Secondary,2,2,2
70306,The Sheffield SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,16/01/2018,Yorkshire and The Humber,Sheffield,Not available,S10 3BT,SCITT,Primary and Secondary,2,2,1
70307,Ripley ITT,03/12/2024,OS,Initial teacher education,31/08/2023,03/08/2023,North West,Lancashire,Not available,LA1 4RS,SCITT,Primary and Secondary,1,1,1
70308,Bright Futures SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,13/11/2017,North West,Trafford,Not available,WA14 2SR,SCITT,Early years,2,2,2
70308,Bright Futures SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,13/11/2017,North West,Trafford,Not available,WA14 2SR,SCITT,Primary and Secondary,2,2,2
70310,Sutton SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/09/2021,London,Sutton,Not available,SM3 9PS,SCITT,Primary and Secondary,1,1,1
70311,London District East SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/12/2017,London,Newham,Not available,E13 8SA,SCITT,Primary,1,1,1
70311,London District East SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,London,Newham,Not available,E13 8SA,SCITT,Secondary,,,
70312,Keele and North Staffordshire Teacher Education,03/12/2024,OS,Initial teacher education,31/08/2023,,West Midlands,Staffordshire,Not available,ST5 3PJ,SCITT,Primary,,,
70313,The OAKS (Ormiston and Keele SCITT),03/12/2024,OS,Initial teacher education,31/08/2023,08/11/2016,West Midlands,Staffordshire,Not available,ST5 5BG,SCITT,Secondary,1,1,1
70314,North Wiltshire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/12/2017,South West,Wiltshire,Not available,SN4 7HG,SCITT,Primary and Secondary,1,1,1
70315,Northern Lights SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,09/05/2022,Yorkshire and The Humber,North Yorkshire,Not available,BD23 1QL,SCITT,Primary and Secondary,2,2,2
70316,i2i Teaching Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,08/09/2023,South East,Surrey,Not available,GU9 8UG,SCITT,Secondary,1,1,1
70317,NELTA,03/12/2024,OS,Initial teacher education,31/08/2023,16/01/2018,London,Redbridge,Not available,IG4 5LP,SCITT,Secondary,1,1,1
70318,Altius Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,21/09/2022,North West,Stockport,Not available,SK8 7JY,SCITT,Primary and Secondary,2,2,2
70319,Fylde Coast SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,10/03/2023,North West,Blackpool,Not available,FY3 7LR,SCITT,Primary and Secondary,2,2,1
70320,Nottinghamshire Torch SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/07/2022,East Midlands,Nottinghamshire,Not available,NG13 8BL,SCITT,Primary and Secondary,2,2,2
70321,Chepping View Primary Academy SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,27/04/2023,South East,Buckinghamshire,Not available,HP12 4PR,SCITT,Primary,2,2,2
70324,London East Teacher Training Alliance,03/12/2024,OS,Initial teacher education,31/08/2023,25/01/2018,London,Tower Hamlets,Not available,E3 4AJ,SCITT,Primary,1,1,1
70324,London East Teacher Training Alliance,03/12/2024,OS,Initial teacher education,31/08/2023,,London,Tower Hamlets,Not available,E3 4AJ,SCITT,Secondary,,,
70325,The John Taylor SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,07/04/2022,West Midlands,Staffordshire,Not available,DE13 8AZ,SCITT,Primary and Secondary,2,2,2
70327,Oxfordshire Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,10/07/2023,South East,Oxfordshire,Not available,OX2 7EE,SCITT,Primary and Secondary,1,1,1
70328,GORSE SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,22/05/2023,Yorkshire and The Humber,Leeds,Not available,LS27 0LZ,SCITT,Primary and Secondary,1,1,1
70329,Bradford Birth to 19 SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,18/07/2022,Yorkshire and The Humber,Bradford,Not available,BD8 9QW,SCITT,Primary and Secondary,2,2,2
70330,Associated Merseyside Partnership SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,29/12/2017,North West,Liverpool,Not available,L13 1FB,SCITT,Primary and Secondary,2,2,2
70333,United Teaching National SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,21/03/2023,London,Westminster,Not available,W9 2DR,SCITT,Primary and Secondary,1,1,1
70334,Sutton Park SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,26/01/2018,West Midlands,Walsall,Not available,B74 2EX,SCITT,Secondary,2,2,2
70336,Lincolnshire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,03/01/2018,East Midlands,Lincolnshire,Not available,LN6 0EP,SCITT,Primary and Secondary,2,2,2
70337,North Manchester ITT Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,02/02/2018,North West,Manchester,Not available,M40 8NT,SCITT,Primary and Secondary,2,2,2
70346,CREC Early Years Partnership,03/12/2024,OS,Initial teacher education,31/08/2023,09/01/2018,West Midlands,Birmingham,Not available,B15 2AF,SCITT,Primary,2,2,2
70347,Hull SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,Yorkshire and The Humber,Kingston upon Hull,Not available,HU7 6AH,SCITT,Primary,,,
70348,Fareham and Gosport Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,30/03/2023,South East,Hampshire,Not available,PO16 7EQ,SCITT,Primary,1,1,1
70351,Cheshire East SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,23/05/2023,North West,Cheshire East,Not available,CW4 7DX,SCITT,Secondary,2,2,2
70352,Prestolee SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,19/07/2023,North West,Bolton,Not available,M26 1HJ,SCITT,Primary,1,1,1
70353,Bishop's Stortford SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,28/11/2018,East of England,Hertfordshire,Not available,CM21 9BY,SCITT,Primary and Secondary,2,2,2
70354,Star Teachers SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,19/11/2019,North West,Blackburn with Darwen,Not available,BB1 2HT,SCITT,Primary and Secondary,1,1,1
70355,Astra SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/07/2023,South East,Buckinghamshire,Not available,HP6 5HA,SCITT,Primary and Secondary,2,2,1
70357,The Coventry SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,09/01/2019,West Midlands,Coventry,Not available,CV1 5LY,SCITT,Primary and Secondary,2,2,2
70358,Hamwic SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,16/12/2018,South East,Hampshire,Not available,SO16 0AJ,SCITT,Primary,2,2,2
70359,Henry Maynard Training E17,03/12/2024,OS,Initial teacher education,31/08/2023,26/11/2018,London,Waltham Forest,Not available,E17 9JE,SCITT,Primary,1,1,1
70361,Barr Beacon SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,West Midlands,Walsall,Not available,WS9 0RF,SCITT,Primary,,,
70361,Barr Beacon SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/11/2018,West Midlands,Walsall,Not available,WS9 0RF,SCITT,Secondary,1,1,1
70362,Cabot Learning Federation SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,13/01/2019,South West,Bristol,Not available,BS5 9JH,SCITT,Primary and Secondary,2,2,2
70363,Lampton LWA SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,20/12/2018,London,Hounslow,Not available,TW3 4EP,SCITT,Secondary,2,2,2
70364,AA Teamworks West Yorkshire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,25/11/2018,Yorkshire and The Humber,Calderdale,Not available,HX5 0RY,SCITT,Primary and Secondary,2,2,2
70365,The South Downs SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,18/11/2018,South East,West Sussex,Not available,BN13 1JX,SCITT,Primary and Secondary,1,1,1
70366,Partnership London SCITT (PLS),03/12/2024,OS,Initial teacher education,31/08/2023,14/09/2023,London,Barking and Dagenham,Not available,RM9 5QT,SCITT,Primary and Secondary,2,2,2
70367,Yorkshire and Humber Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,,Yorkshire and The Humber,Kingston upon Hull,Not available,HU5 4ET,SCITT,Primary,,,
70367,Yorkshire and Humber Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,13/01/2019,Yorkshire and The Humber,Kingston upon Hull,Not available,HU5 4ET,SCITT,Secondary,2,2,2
70368,Haybridge Alliance SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,28/11/2018,West Midlands,Worcestershire,Not available,DY8 2XS,SCITT,Primary and Secondary,2,2,2
70369,GLF Schools' Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,02/08/2022,South East,Surrey,Not available,SM7 1AG,SCITT,Primary and Secondary,2,2,2
70370,Hillingdon SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,13/11/2018,London,Hillingdon,Not available,HA4 8EE,SCITT,Primary and Secondary,1,1,1
70371,East of England Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,24/01/2019,East Midlands,Lincolnshire,Not available,LN6 0DE,SCITT,Primary,2,2,1
1222539,Sacred Heart Newcastle SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,29/01/2019,North East,Newcastle upon Tyne,Not available,NE4 9YF,SCITT,Primary and Secondary,2,2,2
1222545,Red Kite Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,07/02/2019,Yorkshire and The Humber,North Yorkshire,Not available,HG2 0DZ,SCITT,Primary and Secondary,2,2,1
1226981,West Essex SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,17/12/2018,East of England,Essex,Not available,IG9 5RX,SCITT,Primary,1,1,1
1245080,Xavier Teach SouthEast,03/12/2024,OS,Initial teacher education,31/08/2023,30/03/2023,South East,Surrey,Not available,KT16 9LU,SCITT,Primary and Secondary,1,1,1
1246901,Manchester Nexus SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2023,North West,Oldham,Not available,OL1 3SQ,SCITT,Primary and Secondary,2,2,2
1246909,Prince Henry's High School & South Worcestershire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,,West Midlands,Worcestershire,Not available,WR11 4QH,SCITT,Primary,,,
1246909,Prince Henry's High School & South Worcestershire SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,16/12/2019,West Midlands,Worcestershire,Not available,WR11 4QH,SCITT,Secondary,2,2,2
1246912,Yorkshire Wolds Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,17/11/2019,Yorkshire and The Humber,East Riding of Yorkshire,Not available,HU14 3HS,SCITT,Primary and Secondary,1,1,1
1247774,Exceed SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,03/12/2019,Yorkshire and The Humber,Bradford,Not available,BD10 0EF,SCITT,Primary,1,1,1
1253872,Teach Kent & Sussex,03/12/2024,OS,Initial teacher education,31/08/2023,16/12/2019,South East,Kent,Not available,TN4 9SH,SCITT,Primary and Secondary,1,1,1
1253876,The National Modern Languages SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,14/07/2021,Yorkshire and The Humber,Sheffield,Not available,S11 9QH,SCITT,Secondary,2,2,2
1253919,Huddersfield Horizon SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,14/01/2020,Yorkshire and The Humber,Calderdale,Not available,HX5 9DX,SCITT,Primary and Secondary,1,1,1
1264441,Leicester College,03/12/2024,OS,Initial teacher education,31/08/2023,14/07/2021,East Midlands,Leicester,Not available,LE1 3WL,ITE in FE,FE,2,2,2
1272917,Inspiration Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2023,15/09/2021,East of England,Norfolk,Not available,NR1 2RN,SCITT,Primary and Secondary,2,2,2
1272920,The National Mathematics and Physics SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,15/07/2021,South East,Buckinghamshire,Not available,HP11 1TB,SCITT,Secondary,2,2,2
2574134,Teach Lead Bolton,03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2022,North West,Bolton,Not available,BL3 5AB,HEI,FE,2,2,2
2574134,Teach Lead Bolton,03/12/2024,OS,Initial teacher education,31/08/2023,26/06/2023,North West,Bolton,Not available,BL3 5AB,HEI,Secondary,2,2,2
2574148,"NITE: National Institute of Teaching & Education, part of Coventry University Group",03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2022,West Midlands,Coventry,Not available,CV1 5RS,HEI,Primary,2,2,2
2574148,"NITE: National Institute of Teaching & Education, part of Coventry University Group",03/12/2024,OS,Initial teacher education,31/08/2023,05/07/2022,West Midlands,Coventry,Not available,CV1 5RS,HEI,Secondary,2,2,2
2580190,Luminate Partnership for ITT,03/12/2024,OS,Initial teacher education,31/08/2023,14/03/2023,Yorkshire and The Humber,Leeds,Not available,LS3 1AA,ITE in FE,FE,2,2,2
2580203,Middlesbrough College,03/12/2024,OS,Initial teacher education,31/08/2023,06/06/2023,North East,Middlesbrough,Not available,TS2 1AD,ITE in FE,FE,2,2,2
2580204,New College Durham,03/12/2024,OS,Initial teacher education,31/08/2023,17/06/2022,North East,Durham,Not available,DH1 5ES,ITE in FE,FE,3,3,3
2580206,South Essex College,03/12/2024,OS,Initial teacher education,31/08/2023,14/07/2021,East of England,Southend on Sea,Not available,SS1 1ND,ITE in FE,FE,2,2,2
2640593,East SCITT,03/12/2024,OS,Initial teacher education,31/08/2023,06/04/2023,East of England,Suffolk,Not available,IP5 2PB,SCITT,Primary and Secondary,2,2,2
2747243,Best Practice Network,03/12/2024,OS,Initial teacher education,31/08/2023,,South West,Bristol,Not available,BS1 1LT,SCITT,Early years,,,
2747243,Best Practice Network,03/12/2024,OS,Initial teacher education,31/08/2023,,South West,Bristol,Not available,BS1 1LT,SCITT,Primary,,,
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Birmingham,Not available,B15 2TT,HEI,Primary,1,1,1
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Birmingham,Not available,B15 2TT,HEI,Secondary,1,1,1
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Early years,2,2,2
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Primary,1,1,1
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Secondary,1,1,1
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,FE,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Primary,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Secondary,2,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Early years,1,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,FE,2,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Primary,1,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Secondary,1,1,1
70006,University of Bristol,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South West,Bristol,Not available,BS8 1JA,HEI,Secondary,1,1,1
70007,Bromley Schools' Collegiate,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Bromley,Not available,BR2 7DB,SCITT,Primary and Secondary,1,1,1
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,FE,2,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,Primary,2,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,Secondary,2,2,2
70009,Brunel University London,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Hillingdon,Not available,UB8 3PH,HEI,Primary,1,1,1
