Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
143642,Arbour House School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/07/2022,South West,Dorset,South Dorset,DT4 7QF,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
143653,Snowhill School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/05/2022,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,ST1 4LY,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
143838,Urban Mission School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/10/2022,London,Lewisham,Lewisham North,SE13 7FY,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
143839,Aurora Hanley School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/12/2022,West Midlands,Staffordshire,Stoke-on-Trent Central,ST2 8PQ,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
143841,Nightingale House School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/05/2020,Yorkshire and The Humber,Calderdale,Calder Valley,HX7 5RP,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
143858,Lincoln House School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,North West,Lancashire,Burnley,BB12 0QZ,Other Independent School,2,2,2,1,2,Yes,,,All standards Met
143911,The Ryes College,03/12/2024,OS,Non-association independent schools,31/08/2024,02/05/2023,East of England,Suffolk,South Suffolk,CO10 5NA,Other Independent Special School,2,2,2,2,2,Yes,,0,All standards Met
143912,Progress Schools - Toxteth,03/12/2024,OS,Non-association independent schools,31/08/2024,20/12/2022,North West,Liverpool,Liverpool Riverside,L8 8HD,Other Independent School,4,4,4,3,3,No,,,Did not meet all standards
143932,Bluebell School Ltd,03/12/2024,OS,Non-association independent schools,31/08/2024,22/01/2023,West Midlands,Staffordshire,Stoke-on-Trent North,ST7 1EH,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
143933,Education-My Life Matters,03/12/2024,OS,Non-association independent schools,31/08/2024,09/06/2024,London,Lewisham,Lewisham East,SE6 2SP,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
143936,Wood Edge Independent School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/01/2023,North West,Lancashire,West Lancashire,L39 4UL,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144033,New Barn School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,South East,West Berkshire,Newbury,RG20 8HZ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144366,The Orchard Independent Special School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/07/2024,Yorkshire and The Humber,North East Lincolnshire,Great Grimsby and Cleethorpes,DN37 9PH,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144374,The Rowan School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/05/2022,West Midlands,Dudley,Tipton and Wednesbury,WV14 9DE,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144375,Maple House School,03/12/2024,OS,Non-association independent schools,31/08/2024,11/09/2024,North West,Lancashire,Hyndburn,BB4 6LN,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144377,Youth Works Community College,03/12/2024,OS,Non-association independent schools,31/08/2024,30/01/2024,East Midlands,North Northamptonshire,Kettering,NN16 9HX,Other Independent School,2,2,2,2,1,Yes,,,All standards Met
144378,The Belsteads School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,East of England,Essex,North West Essex,CM3 3PP,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144404,The Retreat,03/12/2024,OS,Non-association independent schools,31/08/2024,11/09/2023,West Midlands,Telford and Wrekin,The Wrekin,TF6 6PN,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
144475,Parkview Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,25/09/2024,South East,Kent,East Thanet,CT9 2AN,Other Independent Special School,4,4,4,3,4,No,,,Did not meet all standards
144514,The WASP Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,15/11/2021,South West,Wiltshire,Salisbury,SP2 7PY,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
144619,Clovelly House School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/05/2024,East Midlands,Leicestershire,Mid Leicestershire,LE67 1AP,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144717,Hidelow Grange School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/01/2022,West Midlands,Herefordshire,North Herefordshire,WR6 5AH,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
144726,Rhodes Wood Hospital School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,East of England,Hertfordshire,Welwyn Hatfield,AL9 6NN,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
144727,Lubavitch Yeshiva Ketanah of London,03/12/2024,OS,Non-association independent schools,31/08/2024,23/02/2024,London,Barnet,Finchley and Golders Green,NW11 0QB,Other Independent School,3,3,3,2,2,Yes,,,All standards Met
144730,Aurora Redehall School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/11/2022,South East,Surrey,East Surrey,RH6 9QA,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
144738,Gesher School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/10/2022,London,Harrow,"Ruislip, Northwood and Pinner",HA5 1JF,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
144774,Brookways School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/03/2023,London,Sutton,Sutton and Cheam,SM3 9BZ,Other Independent Special School,3,3,3,3,3,Yes,,,All standards Met
144796,Edith Kay Independent School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/03/2024,London,Brent,Brent East,NW10 8HR,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
144804,The Independent Grammar School:Durham,03/12/2024,OS,Non-association independent schools,31/08/2024,23/01/2024,North East,Durham,City of Durham,DH1 1RH,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
144806,Watchorn Christian School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/05/2022,East Midlands,Derbyshire,Amber Valley,DE55 7AQ,Other Independent School,2,2,2,2,2,Yes,2,,All standards Met
144808,Releasing Potential School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/01/2024,South East,Hampshire,Havant,PO9 1LS,Other Independent School,3,3,2,2,2,Yes,,,Did not meet all standards
144811,Rida Girls High School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/06/2024,Yorkshire and The Humber,Kirklees,Dewsbury and Batley,WF12 9LX,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
144816,Olive High,03/12/2024,OS,Non-association independent schools,31/08/2024,15/11/2022,North West,Lancashire,Burnley,BB11 2RY,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
144818,Open Box Education Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2021,East of England,Essex,Epping Forest,CM16 5DN,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
144856,Progress Schools - Wirral,03/12/2024,OS,Non-association independent schools,31/08/2024,05/12/2022,North West,Wirral,Birkenhead,CH41 4EA,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145059,Woodbury School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/06/2022,West Midlands,Wolverhampton,Wolverhampton North East,WV10 8ED,Other Independent Special School,2,2,2,2,3,Yes,,,All standards Met
145064,Cherry Tree,03/12/2024,OS,Non-association independent schools,31/08/2024,16/10/2022,South East,Kent,Herne Bay and Sandwich,CT9 5QN,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
145127,Embleton View,03/12/2024,OS,Non-association independent schools,31/08/2024,21/05/2023,North East,Darlington,Darlington,DL3 8TF,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
145129,Take 1 Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,12/09/2021,East Midlands,Nottingham,Nottingham East,NG7 6BE,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145159,Kingsbrook School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/09/2021,East of England,Norfolk,Mid Norfolk,IP25 7TJ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145160,Peregrinate Ltd.,03/12/2024,OS,Non-association independent schools,31/08/2024,16/01/2023,North West,Sefton,Sefton Central,L31 2HE,Other Independent Special School,4,4,4,4,3,Yes,,,Did not meet all standards
145164,Tram House School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/07/2022,London,Wandsworth,Tooting,SW17 0NY,Other Independent Special School,2,2,2,1,1,Yes,,1,All standards Met
145169,The Beech House School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/05/2022,South East,Surrey,Esher and Walton,KT8 2EJ,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145170,Elizabeth House School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/05/2023,North West,Rochdale,Blackley and Middleton South,M24 4BD,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145181,On Track Education Services Ltd,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2022,South West,Devon,North Devon,EX31 3UD,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
145182,Birtenshaw School Merseyside,03/12/2024,OS,Non-association independent schools,31/08/2024,26/09/2023,North West,Liverpool,Liverpool Walton,L9 7AB,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145184,Buzz Learning Independent Specialist School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/03/2020,North East,Northumberland,Blyth and Ashington,NE63 8AP,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145187,Progress Schools Wigan,03/12/2024,OS,Non-association independent schools,31/08/2024,25/04/2024,North West,Wigan,Wigan,WN1 1RU,Other Independent School,3,3,3,2,2,Yes,,,All standards Met
145192,Bep Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,26/04/2023,London,Havering,Romford,RM1 3LP,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145231,City of Rochester School,03/12/2024,OS,Non-association independent schools,31/08/2024,04/09/2024,South East,Medway,Rochester and Strood,ME3 8UJ,Other Independent Special School,2,2,2,1,1,Yes,,2,All standards Met
145239,Brenkley School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/01/2022,North East,North Tyneside,Cramlington and Killingworth,NE13 6DS,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145241,Fenton Grange School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/01/2024,Yorkshire and The Humber,North Yorkshire,Hertsmere,EN6 1AG,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
145242,Linton School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/07/2024,North West,Lancashire,Fylde,PR4 1HX,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
145289,Expanse Learning Wigan School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/04/2022,North West,Wigan,Makerfield,WN3 5XF,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145290,Greater Manchester Alternative Provision,03/12/2024,OS,Non-association independent schools,31/08/2024,15/10/2023,North West,Tameside,Ashton-under-Lyne,OL6 7HW,Other Independent Special School,3,3,3,2,2,Yes,,,Did not meet all standards
145293,The Orchard School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/07/2023,South West,Somerset,Hertsmere,EN6 1AG,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145295,Unique Children's School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/05/2024,London,Haringey,Hornsey and Friern Barnet,N10 2PS,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145296,Rosa House School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/01/2022,North West,Lancashire,Burnley,BB10 3RB,Other Independent School,2,2,2,1,2,Yes,,,All standards Met
145298,Eton Dorney Independent Therapeutic School,03/12/2024,OS,Non-association independent schools,31/08/2024,29/04/2024,South East,Buckinghamshire,Beaconsfield,SL4 6QS,Other Independent Special School,3,3,3,2,2,Yes,,,All standards Met
145308,Park House School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/05/2023,South West,Somerset,Taunton and Wellington,TA2 7AX,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
145416,Al-Madani Independent Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2024,South East,Slough,Slough,SL1 6FE,Other Independent School,2,2,2,2,1,Yes,,,All standards Met
145417,New Ways School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/05/2023,West Midlands,Birmingham,Birmingham Northfield,B38 9EL,Other Independent School,1,1,1,1,1,Yes,,0,All standards Met
145462,Act Fast NL Ltd,03/12/2024,OS,Non-association independent schools,31/08/2024,24/03/2024,Yorkshire and The Humber,North Lincolnshire,Scunthorpe,DN17 3PS,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145463,ES Independent School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/07/2023,North West,Liverpool,Liverpool Garston,L19 2LX,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
145465,Moorfield Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,31/01/2022,North West,Westmorland and Furness,Barrow and Furness,LA13 9RS,Other Independent School,2,2,2,2,1,Yes,,2,All standards Met
145468,The Mews,03/12/2024,OS,Non-association independent schools,31/08/2024,22/03/2023,West Midlands,Shropshire,Hertsmere,EN6 1AG,Other Independent Special School,2,2,2,1,2,Yes,,0,All standards Met
145470,Brickyard Barn Outdoor Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,21/03/2023,West Midlands,Warwickshire,Warwick and Leamington,CV33 9QD,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
145479,The Green Room School Kingsley,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2024,South East,Hampshire,East Hampshire,GU35 9LU,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
145499,Eden Springs Girls Secondary,03/12/2024,OS,Non-association independent schools,31/08/2024,19/03/2024,Yorkshire and The Humber,Bradford,Bradford East,BD5 7PE,Other Independent School,2,2,2,1,1,Yes,,2,All standards Met
145510,The Bridge,03/12/2024,OS,Non-association independent schools,31/08/2024,24/01/2024,London,Havering,Romford,RM1 2RR,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
145546,Pollyteach Limited,03/12/2024,OS,Non-association independent schools,31/08/2024,30/07/2023,East Midlands,Nottinghamshire,Ashfield,NG17 7GR,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
145549,Tor View School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/03/2024,South West,Devon,Torridge and Tavistock,PL19 0JN,Other Independent Special School,2,1,2,1,1,Yes,,,All standards Met
145563,The Wenlock School,03/12/2024,OS,Non-association independent schools,31/08/2024,10/03/2022,West Midlands,Dudley,Dudley,DY1 3SS,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
145572,Jasmine House School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/11/2023,East Midlands,Derbyshire,Amber Valley,DE75 7DT,Other Independent Special School,2,2,2,2,1,Yes,,,All standards Met
145574,Cross Keys Learning,03/12/2024,OS,Non-association independent schools,31/08/2024,14/05/2024,South East,Kent,East Thanet,CT10 3JJ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145849,The Corner School,03/12/2024,OS,Non-association independent schools,31/08/2024,21/03/2022,London,Brent,Brent West,HA0 4DT,Other Independent Special School,2,3,2,2,2,Yes,,,Did not meet all standards
145859,Arc Oakbridge School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/03/2023,West Midlands,Birmingham,Birmingham Ladywood,B19 3HU,Other Independent Special School,2,2,2,2,1,Yes,,,All standards Met
145932,Heckington House School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/09/2023,East Midlands,Lincolnshire,Grantham and Bourne,PE20 3QF,Other Independent School,3,3,3,3,3,Yes,,,All standards Met
145946,Shiras Devorah High School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/11/2022,London,Barnet,Finchley and Golders Green,NW11 7HB,Other Independent School,4,4,3,3,2,Yes,,,Did not meet all standards
145949,APTCOO - A Place to Call Our Own,03/12/2024,OS,Non-association independent schools,31/08/2024,24/08/2023,East Midlands,Nottinghamshire,Sherwood Forest,NG22 9EX,Other Independent Special School,3,3,3,3,2,Yes,,,Did not meet all standards
145950,Intuition Holistic Education,03/12/2024,OS,Non-association independent schools,31/08/2024,17/01/2023,West Midlands,Stoke-on-Trent,Stoke-on-Trent South,ST3 4JD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
145960,The Stables Independent School,03/12/2024,OS,Non-association independent schools,31/08/2024,17/06/2024,East of England,Norfolk,North Norfolk,NR12 9EU,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
145962,Elysium Healthcare Potters Bar Clinic School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/03/2024,East of England,Hertfordshire,Hertsmere,EN6 2SE,Other Independent Special School,2,2,2,1,2,Yes,,2,All standards Met
145980,Mountfield Heath School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/04/2024,South East,East Sussex,Bexhill and Battle,TN32 5FA,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146030,The Nook School,03/12/2024,OS,Non-association independent schools,31/08/2024,13/03/2024,North West,Lancashire,Pendle and Clitheroe,BB8 8HH,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
146036,Brighton and Hove Clinic School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/06/2024,South East,Brighton and Hove,Hove and Portslade,BN3 4FH,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146078,Castle Hill School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/04/2024,West Midlands,Staffordshire,Newcastle-under-Lyme,ST7 8DH,Other Independent Special School,3,3,3,2,2,Yes,,,All standards Met
146164,The Seeds School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/10/2023,West Midlands,Telford and Wrekin,Telford,TF4 3EE,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146166,The Spires,03/12/2024,OS,Non-association independent schools,31/08/2024,14/03/2024,South West,Wiltshire,Salisbury,SP1 3YA,Other Independent Special School,2,2,2,1,2,Yes,,,All standards Met
146167,The Greater Horseshoe School,03/12/2024,OS,Non-association independent schools,31/08/2024,16/05/2023,South West,Devon,Central Devon,TQ12 6RH,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
146200,The Outdoors School,03/12/2024,OS,Non-association independent schools,31/08/2024,05/12/2022,South West,Devon,Central Devon,EX2 9QQ,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146277,The Young Women's Hub,03/12/2024,OS,Non-association independent schools,31/08/2024,18/07/2022,London,Lewisham,Lewisham East,SE6 1AU,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146288,Westbourne School,03/12/2024,OS,Non-association independent schools,31/08/2024,09/06/2024,East Midlands,Nottinghamshire,Ashfield,NG17 2EL,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146332,New Skill Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,East of England,Suffolk,Ipswich,IP3 9QR,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146333,Sycamore House School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/04/2024,Yorkshire and The Humber,East Riding of Yorkshire,Beverley and Holderness,HU19 2NT,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146335,Compton Dundon School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/06/2024,South West,Somerset,Glastonbury and Somerton,TA11 6TE,Other Independent Special School,2,2,2,2,1,Yes,,,All standards Met
146340,Overton School,03/12/2024,OS,Non-association independent schools,31/08/2024,11/10/2022,West Midlands,Shropshire,South Shropshire,SY8 4AD,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146350,Aspris Telford School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/01/2024,West Midlands,Telford and Wrekin,Telford,TF8 7DT,Other Independent Special School,3,2,3,2,2,Yes,,,All standards Met
146360,Dovetree School,03/12/2024,OS,Non-association independent schools,31/08/2024,30/01/2024,East Midlands,Leicestershire,Hinckley and Bosworth,LE10 0TB,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
146516,Oxford International College,03/12/2024,OS,Non-association independent schools,31/08/2024,09/09/2024,South East,Oxfordshire,Oxford East,OX4 1BD,Other Independent School,4,4,2,4,2,No,,4,Did not meet all standards
146519,Norton College Tewkesbury,03/12/2024,OS,Non-association independent schools,31/08/2024,21/09/2022,South West,Gloucestershire,Tewkesbury,GL20 8UQ,Other Independent Special School,2,2,2,2,2,Yes,,2,All standards Met
146521,Cornfields School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/05/2022,South East,Kent,Ashford,TN24 8PL,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146525,Keser Girls School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/02/2023,North East,Gateshead,Gateshead Central and Whickham,NE8 1NR,Other Independent School,3,3,3,3,2,Yes,,,Did not meet all standards
146553,LSI Independent College,03/12/2024,OS,Non-association independent schools,31/08/2024,25/06/2024,London,Camden,Hampstead and Highgate,NW3 5QA,Other Independent School,2,2,2,2,1,Yes,,2,All standards Met
146563,West Midlands Education and Skills,03/12/2024,OS,Non-association independent schools,31/08/2024,10/07/2023,West Midlands,Walsall,Walsall and Bloxwich,WS2 8HN,Other Independent Special School,3,3,3,3,2,Yes,,0,All standards Met
146569,Turning Point Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,26/03/2024,North West,Lancashire,West Lancashire,L39 1PX,Other Independent School,2,2,2,1,1,Yes,,,All standards Met
146571,Abbeywood School,03/12/2024,OS,Non-association independent schools,31/08/2024,20/12/2023,Yorkshire and The Humber,Rotherham,Rother Valley,S66 8QN,Other Independent Special School,2,2,2,1,1,Yes,,,All standards Met
146633,Southway Independant School,03/12/2024,OS,Non-association independent schools,31/08/2024,18/05/2022,Yorkshire and The Humber,Leeds,Leeds South,LS10 3JA,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
146646,SMS Changing Lives School,03/12/2024,OS,Non-association independent schools,31/08/2024,15/01/2023,North West,Oldham,Manchester Central,M35 9AY,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146660,Serenity School,03/12/2024,OS,Non-association independent schools,31/08/2024,04/07/2023,South East,Surrey,Reigate,CR5 3QG,Other Independent Special School,1,1,1,1,1,Yes,,1,All standards Met
146671,Belong School Gloucestershire,03/12/2024,OS,Non-association independent schools,31/08/2024,18/07/2023,South West,Gloucestershire,North Cotswolds,GL4 0UF,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146729,Al Risalah Boys' School,03/12/2024,OS,Non-association independent schools,31/08/2024,25/09/2023,London,Wandsworth,Tooting,SW17 7TJ,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
146733,Hartwell School,03/12/2024,OS,Non-association independent schools,31/08/2024,24/03/2022,North East,Stockton-on-Tees,Stockton North,TS18 3TN,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146736,Alchemy School,03/12/2024,OS,Non-association independent schools,31/08/2024,26/04/2023,South East,Kent,Faversham and Mid Kent,ME9 9SN,Other Independent Special School,2,2,2,2,2,Yes,,0,All standards Met
146748,Yesodey Hatorah Girls School,03/12/2024,OS,Non-association independent schools,31/08/2024,28/11/2021,London,Hackney,Hackney North and Stoke Newington,N16 5LG,Other Independent School,2,2,2,2,1,Yes,2,,All standards Met
146774,Kingsgate School,03/12/2024,OS,Non-association independent schools,31/08/2024,11/07/2024,South East,Hampshire,Fareham and Waterlooville,PO16 0HZ,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146790,Aurora Beeches School,03/12/2024,OS,Non-association independent schools,31/08/2024,19/03/2024,South West,Dorset,North Dorset,BH21 5RT,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146806,Great Oaks College,03/12/2024,OS,Non-association independent schools,31/08/2024,18/03/2024,West Midlands,Staffordshire,Cannock Chase,WS11 0LD,Other Independent Special School,2,2,2,1,2,Yes,,0,All standards Met
146824,Elmbank Learning Centre,03/12/2024,OS,Non-association independent schools,31/08/2024,15/07/2024,North East,Stockton-on-Tees,Stockton North,TS20 1PQ,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146971,Witham Prospect School,03/12/2024,OS,Non-association independent schools,31/08/2024,23/03/2023,East Midlands,Lincolnshire,Sleaford and North Hykeham,LN6 9JR,Other Independent Special School,3,3,3,2,2,Yes,,,Did not meet all standards
146973,Koru Independent AP Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,19/06/2023,London,Havering,Hornchurch and Upminster,RM3 7SU,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
146981,Heather Field School,03/12/2024,OS,Non-association independent schools,31/08/2024,01/05/2024,West Midlands,Staffordshire,Stafford,ST17 9JW,Other Independent Special School,1,1,1,1,1,Yes,,,All standards Met
146982,Lyme Brook Independent School,03/12/2024,OS,Non-association independent schools,31/08/2024,22/10/2023,West Midlands,Staffordshire,Newcastle-under-Lyme,ST5 1JB,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
146988,The Holden School,03/12/2024,OS,Non-association independent schools,31/08/2024,27/06/2024,North West,Wigan,Leigh and Atherton,WN7 4SB,Other Independent Special School,2,2,2,2,2,Yes,2,,All standards Met
146999,Camp Hill Education,03/12/2024,OS,Non-association independent schools,31/08/2024,27/07/2023,West Midlands,Birmingham,Birmingham Hall Green and Moseley,B11 1AR,Other Independent School,3,3,3,2,2,Yes,,3,All standards Met
147027,Al-Khair Secondary Girls,03/12/2024,OS,Non-association independent schools,31/08/2024,09/07/2024,London,Croydon,Croydon East,CR0 6BE,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
147034,The View School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/11/2023,South East,Kent,Tonbridge,TN8 5BD,Other Independent Special School,2,2,2,2,2,Yes,,0,All standards Met
147036,Bramley Hill School,03/12/2024,OS,Non-association independent schools,31/08/2024,02/05/2024,South East,Surrey,Reigate,KT20 7ST,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
147038,Heritage Academy,03/12/2024,OS,Non-association independent schools,31/08/2024,04/12/2023,West Midlands,Birmingham,Birmingham Hall Green and Moseley,B12 0DX,Other Independent School,1,1,1,1,1,Yes,,,All standards Met
147169,Parkgate Farm,03/12/2024,OS,Non-association independent schools,31/08/2024,09/09/2024,West Midlands,Staffordshire,Staffordshire Moorlands,ST10 2LR,Other Independent Special School,2,2,2,2,2,Yes,,,All standards Met
147171,Rida Boys High School,03/12/2024,OS,Non-association independent schools,31/08/2024,07/05/2024,Yorkshire and The Humber,Kirklees,Dewsbury and Batley,WF12 9NQ,Other Independent School,2,2,2,2,2,Yes,,,All standards Met
147184,Al-Khair School Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2024,12/05/2020,London,Croydon,Croydon West,CR0 3RA,Other Independent School,2,2,2,1,2,Yes,2,,All standards Met
